MasterID,Site_Name,Site_Type,Site_Address1,Site_Address2,Site_City,Site_State,Site_Zip,Site_Phone,Ext,Contact_First_Name,Contact_Last_Name,Contact_Phone,Sponsoring_Organization,Start_Date,End_Date,Days_of_operation,Comments,Breakfast_Time,Lunch_Time,Snack_Time_AM,Snack_Time_PM,Supper_Time,Site_Location,Site_Program,State_Site_ID_Number,State_Sponsor_ID_Number,sooX,sooY,SOO,Cycle,Country,RecordStatus,FNSID,Created,Season,County,LocationType,Confidence,Mapped_Status,MapX,MapY,Service_Model
51269,Cascade Housing,Open,20524 106th SE,,Kent,WA,98031,2533737594,,Ruth,Nowak,2533737594,Kent School District,6/24/2024,8/9/2024," M, T, W, TH, F", Please confirm mealtimes with site.,,12:00PM - 1:00PM,,,,,,,,,,WA,5,USA,N,41948,5/29/2024 0:00,2024,King County,A,98.84,M,-122.1994833,47.41830157,Eat On-Site
51315,Hutdtloff Middle School,Open,8102 Phillips Rd SW,,Lakewood,WA,98498,3198997387,,Joy,Vandenberg,3198997387,YMCA of Pierce and Kitsap Counties,6/26/2024,8/23/2024," M, T, W, TH, F", Please confirm mealtimes with site.,,,,3:00PM - 4:00PM,,,,,,,,WA,5,USA,N,355065,5/29/2024 0:00,2024,Pierce County,A,100,M,-122.5372141,47.18371657,Eat On-Site
79958,Ocosta Elementary School,Open,2580 S Montesano St,,Westport,WA,98595,3602689125,1008,Steve,Schmeling,3602689125,Ocosta School District,7/8/2024,8/1/2024," M, T, W, TH",Please confirm mealtimes with site.,8:30AM - 9:00AM,11:30AM - 12:00PM,,,,,SFSP,659021,159377,,,WA,6,USA,N,329022,6/18/2024 0:00,2024,Grays Harbor County,A,100,M,-124.1011205,46.86215489,Eat On-Site
80095,Surrey Lane Apartments,Open,2810 Ruddell Rd SE,,Lacey,WA,98503,3603528597,104,Anna-Min,Kellogg,3603528597,Thurston County Food Bank,6/24/2024,8/30/2024," M, T, W, TH, F",Please confirm mealtimes with site.,,12:45PM - 1:05PM,,,,,SFSP,685577,158844,,,WA,6,USA,N,147517,6/18/2024 0:00,2024,Thurston County,A,100,M,-122.8102165,47.0223077,Eat On-Site
80115,Snohomish Library,Open,311 Maple,,Snohomish,WA,98290,3605637239,,Tom,Laufmann,3605637239,Snohomish School District,6/20/2024,8/30/2024," M, T, W, TH, F",Please confirm mealtimes with site.,8:30AM - 9:00AM,12:15PM - 1:00PM,,,,,SFSP,687412,159975,,,WA,6,USA,N,357559,6/18/2024 0:00,2024,Snohomish County,A,98.82,M,-122.0887549,47.91444871,Eat On-Site
80117,Cascade Park Community Library,Open,600 NE 136th Ave,,Vancouver,WA,98684,,,,,,"Share, INC",6/24/2024,8/9/2024," M, T, W, TH, F",Please confirm mealtimes with site.,,12:00PM - 1:00PM,,,,,SFSP,687499,159548,,,WA,6,USA,N,347760,6/18/2024 0:00,2024,Clark County,A,100,M,-122.5346896,45.62463962,Eat On-Site
80118,McKenzie Stadium,Open,2211 NE 138th Ave,,Vancouver,WA,98684,,,,,,"Share, INC",7/31/2024,8/2/2024," W, TH, F",Please confirm mealtimes with site.,,11:45AM - 12:30PM,,,,,SFSP,687501,159548,,,WA,6,USA,N,347956,6/18/2024 0:00,2024,Clark County,A,100,M,-122.5305198,45.63928082,Eat On-Site
80119,Vancouver Police East Precinct,Open,520 SE 155th Ave,,Vancouver,WA,98684,,,,,,"Share, INC",8/6/2024,8/9/2024," T, W, TH, F",Please confirm mealtimes with site.,,11:45AM - 12:30PM,,,,,SFSP,687502,159548,,,WA,6,USA,N,348113,6/18/2024 0:00,2024,Clark County,A,100,M,-122.5143342,45.61729866,Eat On-Site
80120,Covington Middle School,Open,11200 NE Rosewood Ave,,Vancouver,WA,98662,,,,,,"Share, INC",7/15/2024,7/17/2024," M, T, W",Please confirm mealtimes with site.,,11:45AM - 12:30PM,,,,,SFSP,687503,159548,,,WA,6,USA,N,347814,6/18/2024 0:00,2024,Clark County,A,100,M,-122.5586824,45.66728886,Eat On-Site
126651,Denny International CLC,Open,2601 SW Kenyon St,,Seattle,WA,98126,2063751186,,Temesgen,Melashu,2063751186,City of Seattle Child Nutrition Program,7/8/2024,8/2/2024," M, T, W, TH, F",,9:00AM - 10:30AM,12:00PM - 1:30PM,,,,,SFSP,685212,159842,,,WA,8,USA,N,350007,6/19/2024 0:00,2024,King County,A,100,M,-122.3669464,47.53183833,Eat On-Site
